taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
หนี้สินตามสัญญาเช่า,,,หนี้สินตามสัญญาเช่า,212400,219999,False,False,"222400-หนี้สินตามสัญญาเช่า-หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี-The input query's fs_category is หนี้สินและส่วนของผู้ถือหุ้น,  relate to both fs_category  หนี้สินหมุนเวียน and หนี้สินไม่หมุนเวียน.  Therefore, using  item_in_taxonomy  หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี which belong to fs_category หนี้สินไม่หมุนเวียน  to represent the input query | 222400-หนี้สินตามสัญญาเช่า-หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี-The query mentions ""หนี้สินตามสัญญาเช่า"" which implies Non-Current Portion Of Lease Liabilities. Although the fs_category does not match the input metadata, we can use item_in_taxonomy instead. | "
เงินกู้ยืมระยะยาว,221800,เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว,221890,221800,False,True,
เงินกู้ยืมประเภทด้อยสิทธิ,221800,เงินกู้ยืมประเภทด้อยสิทธิ,เงินกู้ยืมประเภทด้อยสิทธิ,221890,221800,False,True,
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,,,หุ้นสามัญหุ้นมูลค่าหุ้นละบาท,310120,310100,False,False,"310220-หุ้นสามัญหุ้นมูลค่าหุ้นละบาท-หุ้นสามัญชำระแล้ว-The input mentions ""หุ้นสามัญ"" and ""มูลค่าหุ้นละ"", which suggests it's referring to paid-up ordinary shares. The closest match in the taxonomy list is ""หุ้นสามัญชำระแล้ว"" with SET Code 310220. | "
รายได้จากบัตรเครดิต,410108,รายได้จากบัตรเครดิต,รายได้จากบัตรเครดิต,410109,410108,False,True,
กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว,,,กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว,439790,439700,False,False,439740-กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว-กำไร (ขาดทุน) จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน-The closest match from the provided taxonomy list is 'กำไร (ขาดทุน) จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน' because its meaning 'กำไรหรือขาดทุน จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน บางครั้งใช้ชื่อว่า กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว หรือ ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม' mentions the query 'กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว' as an alternative name. | 
ผลกำไร(ขาดทุน)จากการป้องกันความเสี่ยงกระแสเงินสด,,,ผลกำไร(ขาดทุน)จากการป้องกันความเสี่ยงกระแสเงินสด,440500,409998,False,False,
รายได้จากบัตรเครดิต,410108,รายได้จากบัตรเครดิต,รายได้จากบัตรเครดิต,410109,410108,False,True,
กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว,,,กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว,439790,439700,False,False,439740-กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว-กำไร (ขาดทุน) จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน-The closest match from the provided taxonomy list is 'กำไร (ขาดทุน) จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน' because its meaning 'กำไรหรือขาดทุน จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน บางครั้งใช้ชื่อว่า กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว หรือ ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม' mentions the query 'กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว' as an alternative name. | 
ขาดทุนจากการด้อยค่าสินทรัพย์,,,ขาดทุนจากการด้อยค่าสินทรัพย์,430900,429999,False,False,"512100-ขาดทุนจากการด้อยค่าสินทรัพย์- (โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น-The input mentions impairment loss and the financial statement type is statement of cash flows. The most relevant item in the taxonomy list is  (โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น, which falls under the category กิจกรรมดำเนินงาน related to กระแสเงินสดจากกิจกรรมดำเนินงาน. | "
ผลกำไรจากการป้องกันความเสี่ยงกระแสเงินสด,,,ผลกำไรจากการป้องกันความเสี่ยงกระแสเงินสด,440500,409998,False,False,
ค่าใช้จ่ายภาษีเงินได้,,,ค่าใช้จ่ายภาษีเงินได้,514900,519997,False,False,"439800-ค่าใช้จ่ายภาษีเงินได้-ภาษีเงินได้-The INPUT is ค่าใช้จ่ายภาษีเงินได้ and financial_statement_type is งบกำไรขาดทุน, fs_category is กำไรสำหรับงวด. The most relevant item from the Taxonomy list is  ภาษีเงินได้ with set_code 439800 because the meaning_of_taxonomy matches the INPUT the most. | 439800-ค่าใช้จ่ายภาษีเงินได้-ภาษีเงินได้-The query 'ค่าใช้จ่ายภาษีเงินได้' matches the meaning of taxonomy 'บางครั้งใช้ชื่อว่า (ค่าใช้จ่าย)รายได้ภาษีเงินได้ หรือ รายได้(ค่าใช้จ่าย)ภาษีเงินได้ หรือ ค่าใช้จ่ายภาษีเงินได้' in the provided taxonomy list. Thus, the selected SET Code is '439800' and Item in Taxonomy is 'ภาษีเงินได้'. | "
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,,,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,519997,False,False,"430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น- (กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-The query mentions ""ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น"" which is very similar to item in taxonomy ""(กลับรายการ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น"". Although no item's fs_category in the taxonomy list is related to the input metadata fs_category, this item is the closest match. | 430700-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น-The INPUT 'ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น'  appears in the meaning of taxonomy of SET Code 430700. 

The INPUT METADATA's financial_statement_type is งบกำไรขาดทุน, which maps to 'PL'.

The INPUT METADATA's fs_category is  which has no related value. An item_in_taxonomy, 'ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น', is selected. | "
ขาดทุนจากการด้อยค่าสินทรัพย์,,,ขาดทุนจากการด้อยค่าสินทรัพย์,511700,519997,False,False,"512100-ขาดทุนจากการด้อยค่าสินทรัพย์- (โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น-The input mentions impairment loss and the financial statement type is statement of cash flows. The most relevant item in the taxonomy list is  (โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น, which falls under the category กิจกรรมดำเนินงาน related to กระแสเงินสดจากกิจกรรมดำเนินงาน. | "
ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,,,ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,511500,519997,False,False,"515000-ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม-รายการปรับปรุงอื่น ๆ-The INPUT mentions  'ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม' which closely resembles the description in 'meaning_of_taxonomy' field of one of the provided taxonomy items. That item's 'meaning_of_taxonomy' includes 'ขาดทุนจากการตัดจำหน่ายค่าเช่าค้างรับ'.  Therefore, the selected SET Code and Item in Taxonomy are chosen. | "
ค่าใช้จ่ายผลประโยชน์พนักงาน,,,ค่าใช้จ่ายผลประโยชน์พนักงาน,514910,519997,False,False,"518700-ค่าใช้จ่ายผลประโยชน์พนักงาน-ประมาณการหนี้สินผลประโยชน์พนักงาน เพิ่มขึ้น (ลดลง)-The most relevant item from the provided taxonomy list is ""ประมาณการหนี้สินผลประโยชน์พนักงาน เพิ่มขึ้น (ลดลง)"" (Increase (Decrease) In Provisions For Employee Benefit Obligations) with SET Code 518700. Although the input name explicitly mentions ""expenses,"" the context specifies that the financial statement type is ""งบกระแสเงินสด"" (Cash Flow Statement). Therefore, we should look for items related to changes in cash flow rather than direct expenses. The meaning of the selected taxonomy item, ""ประมาณการหนี้สินผลประโยชน์พนักงาน เพิ่มขึ้นหรือลดลง"" (Increase or decrease in estimated employee benefit obligations), aligns with the concept of cash flow related to employee benefits. | "
ค่าใช้จ่ายโครงการสะสมหุ้นสําหรับพนักงาน,,,ค่าใช้จ่ายโครงการสะสมหุ้นสําหรับพนักงาน,510700,519997,False,False,"514910-ค่าใช้จ่ายโครงการสะสมหุ้นสําหรับพนักงาน-ค่าใช้จ่ายผลประโยชน์พนักงาน-The input mentions ""ค่าใช้จ่าย"" and ""พนักงาน"" which closely relates to employee benefits.  Also, the input metadata specifies the fs_category as  'กระแสเงินสดจากกิจกรรมดำเนินงาน' which corresponds to 'กิจกรรมดำเนินงาน' in the relevant taxonomy entries. | "
กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว,,,กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว,511610,511600,False,False,439740-กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว-กำไร (ขาดทุน) จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน-The closest match from the provided taxonomy list is 'กำไร (ขาดทุน) จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน' because its meaning 'กำไรหรือขาดทุน จากการขายสินทรัพย์ที่ไม่ใช่สินทรัพย์ทางการเงิน บางครั้งใช้ชื่อว่า กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว หรือ ขาดทุนจากการขายและตัดจำหน่ายส่วนปรับปรุงอาคารเช่าและอุปกรณ์และสินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม' mentions the query 'กำไรจากการขายลูกหนี้ที่ตัดจำหน่ายแล้ว' as an alternative name. | 
(กำไร)ขาดทุนที่ยังไม่เกิดขึ้นจากอัตราแลกเปลี่ยน,,,(กำไร)ขาดทุนที่ยังไม่เกิดขึ้นจากอัตราแลกเปลี่ยน,510800,519997,False,False,
กำไรจากการยกเลิกสัญญาเช่า,,,กำไรจากการยกเลิกสัญญาเช่า,515000,519997,False,False,
ต้นทุนทางการเงิน,,,ต้นทุนทางการเงิน,514800,519997,False,False,"429900-ต้นทุนทางการเงิน-ต้นทุนทางการเงิน-The input item name ต้นทุนทางการเงิน exists in the Taxonomy list with the same fs_category กำไรก่อนภาษีเงินได้ as specified in the metadata. Therefore, the correct SET Code is 429900 and Item in Taxonomy is ต้นทุนทางการเงิน. | 429900-ต้นทุนทางการเงิน-ต้นทุนทางการเงิน-Found an exact match for the query ""ต้นทุนทางการเงิน"" in the Taxonomy list with financial_statement_type as ""PL"". | "
ภาษีเงินได้จ่ายออก,,,ภาษีเงินได้จ่ายออก,519900,519999,False,False,514900-ภาษีเงินได้จ่ายออก-ภาษีเงินได้-The INPUT ภาษีเงินได้จ่ายออก matches meaning_of_taxonomy 'บางครั้งใช้ชื่อว่า ค่าใช้จ่ายภาษีเงินได้ หรือ (รายได้)ค่าใช้จ่ายภาษีเงินได้' in the Taxonomy list. And the value of fs_category in the Taxonomy list item is related to กระแสเงินสดจากกิจกรรมดำเนินงาน in the INPUT METADATA. | 
เงินสดจ่ายสมทบโครงการสะสมหุ้นสําหรับพนักงาน,,,เงินสดจ่ายสมทบโครงการสะสมหุ้นสําหรับพนักงาน,510700,519997,False,False,<NA>-เงินสดจ่ายสมทบโครงการสะสมหุ้นสําหรับพนักงาน-nan-There is no item in the taxonomy that matches the query based on the provided context and instructions. | 
เงินสดรับจากเงินฝากประจำธนาคารที่มีภาระผูกพัน,,,เงินสดรับจากเงินฝากประจำธนาคารที่มีภาระผูกพัน,529900,529999,False,False,"522400-เงินสดรับจากเงินฝากประจำธนาคารที่มีภาระผูกพัน-เงินฝากสถาบันการเงินที่มีข้อจำกัดการใช้ (เพิ่มขึ้น) ลดลง-The provided financial report line item name is  'เงินสดรับจากเงินฝากประจำธนาคารที่มีภาระผูกพัน' and the financial statement category is 'กระแสเงินสดจากกิจกรรมลงทุน'. A semantically similar item from the taxonomy list is 'เงินฝากสถาบันการเงินที่มีข้อจำกัดการใช้ (เพิ่มขึ้น) ลดลง' with the SET code '522400', which falls under the category 'กิจกรรมลงทุน' and also has the alternative name 'เงินสดรับจากเงินฝากประจำธนาคารที่มีภาระผูกพัน'. Therefore, the selected SET code '522400' and item in taxonomy 'เงินฝากสถาบันการเงินที่มีข้อจำกัดการใช้ (เพิ่มขึ้น) ลดลง' seem to be the most appropriate match. | "
เงินสดจ่ายเพื่อลงทุนในบริษัทย่อย,,,เงินสดจ่ายเพื่อลงทุนในบริษัทย่อย,521200,529999,False,False,
เงินสดจ่ายจากการเปลี่ยนแปลงส่วนได้เสียในความเป็นเจ้าของในบริษัทย่อย,,,เงินสดจ่ายเพื่อซื้อหุ้นจากผู้ถือหุ้นส่วนน้อย,531800,539999,False,False,
เงินสดรับจากเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์,,,เงินสดรับจากเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์,530700,539999,False,False,"530320-เงินสดรับจากเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์-เงินสดรับจากเงินกู้ยืมระยะยาว-The input name mentions เงินสดรับจากเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์, and the closest match in the taxonomy list is เงินสดรับจากเงินกู้ยืมระยะยาว under  fs_category กิจกรรมจัดหาเงิน. Therefore, the SET code is 530320. | "
เงินสดจ่ายชำระคืนเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์,,,เงินสดจ่ายชำระคืนเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์,530800,539999,False,False,"530422-เงินสดจ่ายชำระคืนเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์-เงินสดจ่ายชำระเงินกู้ยืมระยะยาว - บุคคลหรือกิจการอื่น-The INPUT, ""เงินสดจ่ายชำระคืนเงินกู้ยืมระยะยาวภายใต้โครงการแปลงสินทรัพย์เป็นหลักทรัพย์"", closely resembles the meaning_of_taxonomy provided in multiple Taxonomy list items. However, only the Taxonomy list item with set_code '530422' has  fs_category ""กิจกรรมจัดหาเงิน"" which is related to the INPUT METADATA fs_category ""กระแสเงินสดจากกิจกรรมจัดหาเงิน"". | "
ผลกระทบของอัตราแลกเปลี่ยนต่อเงินสดและรายการเทียบเท่าเงินสด,,,ผลกระทบของอัตราแลกเปลี่ยนต่อเงินสดและรายการเทียบเท่าเงินสด,540200,599999,False,False,"540100-ผลกระทบของอัตราแลกเปลี่ยนต่อเงินสดและรายการเทียบเท่าเงินสด-ผลกระทบจากอัตราแลกเปลี่ยนในเงินสดและรายการเทียบเท่าเงินสด-From the Taxonomy list, fs_category ผลกระทบของอัตราแลกเปลี่ยน is related to ผลกระทบของอัตราแลกเปลี่ยนต่อเงินสดและรายการเทียบเท่าเงินสด and financial_statement_type is งบกระแสเงินสด. Thus, the correct SET Code and Item in Taxonomy are 540100 and ผลกระทบจากอัตราแลกเปลี่ยนในเงินสดและรายการเทียบเท่าเงินสด. | "
